epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2046.84,0.22746,0.27823,0.16659,0.82519,0.98252,0.99204,0.99168,0.97952,0.98252,0.99204,0.99168,0.963,0.1636,0.21394,0.14014,0.50805,0.0002774,0.0002774,0.0002774
89,2070.58,0.22635,0.27529,0.1672,0.82431,0.98574,0.99363,0.99198,0.98169,0.98574,0.99363,0.99198,0.96624,0.16416,0.22813,0.14696,0.51237,0.0002576,0.0002576,0.0002576
90,2094.13,0.22768,0.27008,0.1664,0.82619,0.98627,0.99045,0.99162,0.97862,0.98627,0.99045,0.99162,0.96157,0.1587,0.22195,0.13945,0.51021,0.0002378,0.0002378,0.0002378
91,2119.28,0.23157,0.23584,0.18004,0.78411,0.98337,0.99522,0.99199,0.98122,0.98337,0.99522,0.99199,0.96817,0.16306,0.23027,0.1403,0.5094,0.000218,0.000218,0.000218
92,2142.3,0.23179,0.22498,0.17554,0.77879,0.98567,0.99363,0.99112,0.98118,0.98236,0.99522,0.99112,0.96243,0.16026,0.22033,0.13858,0.50894,0.0001982,0.0001982,0.0001982
93,2164.82,0.22702,0.23836,0.17326,0.77643,0.98547,0.99363,0.99248,0.98392,0.98547,0.99363,0.99248,0.96793,0.16198,0.22728,0.13587,0.51082,0.0001784,0.0001784,0.0001784
94,2187.71,0.22121,0.23426,0.16703,0.78145,0.98852,0.98885,0.99266,0.98347,0.98852,0.98885,0.99266,0.96548,0.15921,0.22727,0.13601,0.51019,0.0001586,0.0001586,0.0001586
95,2210.39,0.21894,0.22475,0.16747,0.77454,0.98575,0.99156,0.99238,0.9839,0.98575,0.99156,0.99238,0.96764,0.15805,0.23968,0.1336,0.511,0.0001388,0.0001388,0.0001388
96,2233.1,0.21189,0.22397,0.16348,0.7752,0.98581,0.99527,0.99244,0.98383,0.98581,0.99537,0.99244,0.96678,0.1599,0.22392,0.13462,0.50745,0.000119,0.000119,0.000119
97,2255.9,0.21425,0.21659,0.16212,0.78018,0.98665,0.99682,0.99275,0.9837,0.98665,0.99682,0.99275,0.96531,0.15602,0.22767,0.13318,0.50532,9.92e-05,9.92e-05,9.92e-05
98,2279.2,0.21359,0.22564,0.16139,0.77373,0.98658,0.99682,0.9927,0.9847,0.98579,0.99522,0.9927,0.9676,0.15577,0.22024,0.12985,0.50489,7.94e-05,7.94e-05,7.94e-05
99,2302.32,0.2095,0.22999,0.15723,0.76942,0.98581,0.99528,0.99151,0.98373,0.98581,0.99528,0.99151,0.9651,0.15178,0.2167,0.12795,0.50417,5.96e-05,5.96e-05,5.96e-05
100,2325.57,0.20787,0.21686,0.15743,0.77389,0.9858,0.99468,0.9928,0.98534,0.9858,0.99468,0.9928,0.9663,0.1523,0.2159,0.12876,0.50399,3.98e-05,3.98e-05,3.98e-05
